,기관코드_int,기관코드_str,시군구별(1),시군구별(2),계,상급종합병원,종합병원,병원,요양병원,의원,치과병원,치과의원,한방병원,한의원,보건소,보건지소,보건진료소,보건의료원,조산원,약국
119,30230,30230,대전,대덕구,310,-,2,4,4,113,1,47,-,47,1,-,1,-,-,90
120,30110,30110,대전,동구,447,-,1,4,11,156,1,74,1,82,1,1,1,-,-,114
121,30170,30170,대전,서구,1123,-,3,26,12,431,1,222,5,181,1,2,1,-,-,238
122,30200,30200,대전,유성구,586,-,1,12,11,203,2,102,-,110,1,2,4,-,-,138
123,30140,30140,대전,중구,518,1,2,5,12,175,1,85,1,85,1,1,1,-,1,147
124,26440,26440,부산,강서구,147,-,-,4,-,49,1,27,-,21,1,4,3,-,-,37
125,26410,26410,부산,금정구,466,-,1,10,22,147,-,96,2,81,1,-,-,-,-,106
126,26710,26710,부산,기장군,229,-,1,5,5,82,1,40,-,33,1,4,2,-,-,55
127,26290,26290,부산,남구,475,-,1,8,8,157,1,99,-,90,1,-,-,-,-,110
128,26170,26170,부산,동구,239,-,3,5,6,77,2,34,1,44,1,-,-,-,-,66
129,26260,26260,부산,동래구,608,-,3,16,17,184,4,130,-,117,1,-,-,-,-,136
130,26230,26230,부산,부산진구,986,1,3,19,14,429,3,170,1,157,1,-,-,-,-,188
131,26320,26320,부산,북구,465,-,2,11,14,166,3,88,-,77,1,1,-,-,-,102
132,26530,26530,부산,사상구,317,-,2,8,18,111,1,58,-,42,1,-,-,-,-,76
133,26380,26380,부산,사하구,541,-,-,18,25,184,1,100,2,85,1,-,-,-,-,125
134,26140,26140,부산,서구,235,3,1,4,6,60,-,34,1,35,1,-,-,-,-,90
135,26500,26500,부산,수영구,395,-,2,8,11,123,1,78,-,82,1,-,-,-,1,88
136,26470,26470,부산,연제구,450,-,1,10,16,153,2,89,1,80,1,-,-,-,1,96
137,26200,26200,부산,영도구,203,-,2,1,5,73,-,31,-,34,1,-,-,-,-,56
138,26110,26110,부산,중구,182,-,1,1,5,69,-,39,1,25,1,-,-,-,-,40
139,26350,26350,부산,해운대구,814,-,2,14,18,320,4,160,1,133,1,2,-,-,-,159
140,11680,11680,서울,강남구,3088,2,2,33,9,1639,15,566,11,366,1,-,-,-,-,444
141,11740,11740,서울,강동구,1023,-,3,15,6,354,3,218,5,185,1,-,-,-,-,233
142,11305,11305,서울,강북구,628,-,1,8,6,225,1,124,-,96,1,-,-,-,-,166
143,11500,11500,서울,강서구,1080,-,4,17,4,394,3,219,4,191,1,-,-,-,-,243
144,11620,11620,서울,관악구,909,-,1,10,3,319,1,204,2,153,1,-,-,-,-,215
145,11215,11215,서울,광진구,723,1,1,5,3,268,2,154,-,118,1,-,-,-,-,170
146,11530,11530,서울,구로구,741,1,1,8,9,261,1,166,2,110,1,1,-,-,-,180
147,11545,11545,서울,금천구,475,-,1,6,4,158,-,106,3,78,1,-,-,-,-,118
148,11350,11350,서울,노원구,952,-,3,7,6,350,3,195,2,159,1,1,-,-,-,225
149,11320,11320,서울,도봉구,485,-,1,8,6,163,1,103,2,85,1,-,-,-,-,115
150,11230,11230,서울,동대문구,832,1,3,14,9,260,4,157,1,157,1,-,-,-,1,224
151,11590,11590,서울,동작구,762,1,1,5,3,259,2,172,1,132,1,-,-,-,-,185
152,11440,11440,서울,마포구,929,-,-,2,3,371,3,200,1,150,1,-,-,-,-,198
153,11410,11410,서울,서대문구,587,1,1,5,3,208,2,125,1,89,1,1,-,-,-,150
154,11650,11650,서울,서초구,1465,1,-,12,4,630,5,315,6,252,1,2,-,-,1,236
155,11200,11200,서울,성동구,593,1,-,6,3,213,1,127,-,93,1,-,-,-,-,148
156,11290,11290,서울,성북구,729,1,-,6,7,251,1,149,-,113,1,-,-,-,-,200
157,11710,11710,서울,송파구,1527,1,1,16,10,561,4,318,4,250,1,1,-,-,-,360
158,11470,11470,서울,양천구,816,-,3,5,5,279,4,177,3,150,1,-,-,-,-,189
159,11560,11560,서울,영등포구,1001,-,7,8,12,339,1,238,2,149,1,-,-,-,-,244
160,11170,11170,서울,용산구,435,-,1,2,-,135,-,106,-,62,1,-,-,-,1,127
161,11380,11380,서울,은평구,874,-,2,11,6,320,1,175,2,145,1,2,-,-,-,209
162,11110,11110,서울,종로구,668,2,2,3,-,193,1,163,-,131,1,-,-,-,-,172
163,11140,11140,서울,중구,728,-,2,4,-,241,6,211,1,95,1,-,-,-,-,167
164,11260,11260,서울,중랑구,689,-,3,12,3,237,-,148,-,108,1,-,-,-,-,177
165,36110,36110,세종특별자치시,세종특별자치시,491,-,1,-,6,181,1,85,1,76,1,10,7,-,-,122
166,31140,31140,울산,남구,765,-,3,20,18,271,2,179,2,115,1,1,-,-,-,153
167,31170,31170,울산,동구,242,-,1,1,4,87,1,45,-,36,1,-,-,-,-,66
168,31200,31200,울산,북구,211,-,1,4,4,69,1,48,1,32,1,-,2,-,-,48
169,31710,31710,울산,울주군,260,-,1,8,11,74,-,44,-,44,1,7,9,-,-,61
170,31110,31110,울산,중구,323,-,2,10,5,108,-,67,-,48,1,-,-,-,-,82
171,28710,28710,인천,강화군,107,-,1,2,4,20,-,14,1,16,1,13,13,-,-,22
172,28245,28245,인천,계양구,477,-,2,8,10,160,-,105,4,71,1,1,-,-,1,114
173,28200,28200,인천,남동구,955,1,-,14,18,355,1,189,7,148,1,-,-,-,-,221
