시도,시군구,고혈압,울혈성심부전,협심증,당뇨 급성 합병증,당뇨 만성 합병증,성인 천식,만성 폐쇄성 폐질환,세균성 폐렴,요로 감염증,충수 돌기,소아 천식,소아 위장 관염,소아 세균성 폐렴,소아 요로 감염,소아 천공성 충수염
부산광역시,영도구,38.3,8.3,10.1,0.3,12.7,2.1,23.7,7.9,8.4,2,40.3,72.8,20.1,5.9,0.1
충청북도,영동군,28,7.8,6.1,0.2,7.5,2.1,14.8,2.7,7,1.4,22.7,34.6,5.2,11.1,0.2
서울특별시,영등포구,23.1,4,6.2,0.3,6.6,1.4,7.6,2.8,4.7,1.7,9.1,46.5,1.8,7.1,0
전라남도,영암군,33.4,5,6.6,0.3,11.4,3.2,21.7,6.7,7.6,1.7,84.5,50.1,8.4,6,0.3
경상북도,영양군,30.7,4.4,6.2,0.2,11.3,3.3,24.9,12.6,5.5,0.6,31,70.9,42.8,1.3,0
강원도,영월군,24.3,6.7,6.8,0.3,7.3,2.3,11,5.9,6.2,0.9,19.2,19.7,4,0.3,0
경상북도,영주시,24,4.8,5.5,0.3,6.6,2.3,14,2.6,4.8,1.2,22.6,35.5,5.6,1.6,0
경상북도,영천시,26.4,6.1,3.7,0.3,7,1.4,10.6,2.1,4.3,1.5,22.3,32.2,1.7,3,0
충청남도,예산군,24.6,5.7,5.4,0.2,6.8,2.4,11.8,3.7,5.8,1.3,12.6,26.5,6.6,4.4,0.2
경상북도,예천군,25.4,3.6,4.9,0.2,6.6,1.9,14.1,2.3,4.5,1.1,20.6,34.5,2.7,3.3,0
경기도,오산시,22.9,4.6,6.4,0.3,6.7,2,14.2,5.9,8.2,1.6,18.9,41.6,1.8,3,0.2
충청북도,옥천군,33.5,4.4,5.1,0.2,7.6,1.8,10.7,2,7.2,1.6,27,32.8,2.7,12.6,0
인천광역시,옹진군,29.1,5.6,8.6,0.2,7.9,1.9,17.3,2,7.3,1.2,14.9,21.2,3.3,7,0
전라남도,완도군,36.2,5.9,7.7,0.5,10.7,4.4,24.8,9.4,7.6,1.4,82.2,52.6,17.9,5.7,0
전라북도,완주군,32,3.9,5.4,0.2,8.7,2.9,19,6.8,7,1.6,27.5,38.4,4.7,4.9,0.1
서울특별시,용산구,18.5,2.4,4.5,0.3,6.2,1.3,4.5,1.9,3.6,1.4,7.3,24.2,3.6,3.2,0.1
경기도,용인시기흥구,16.4,3.5,4.4,0.2,4.7,1.3,7,1.9,3.5,1.5,7.9,18.8,1.4,1.9,0
경기도,용인시수지구,14.9,3.4,3.9,0.2,3.7,0.8,4.7,0.8,2.7,1.2,2.2,10.6,1.1,1.6,0.1
경기도,용인시처인구,19.5,4.6,11,0.3,11,2,12.3,2,4.4,1.5,12.1,34,3.4,2.5,0
경상북도,울릉군,24.3,5.3,6.7,0.2,5.8,1.3,10.7,2,4.2,2.9,13.6,15.8,9,2.2,0
울산광역시,울주군,29.5,6.6,6.3,0.1,8.3,2.9,18.4,4.7,8.2,2.5,79.1,77,12.8,14.5,0
경상북도,울진군,28.9,7,7.7,0.3,8.3,1.6,12.6,4,4.8,1.7,13,19.8,7.5,3,0.3
강원도,원주시,20.2,4,4.9,0.2,5,1.7,7.1,1.8,5,1.4,4.9,20.9,3.4,0.8,0
대전광역시,유성구,23.1,5.4,5.5,0.2,6.3,1.3,8.4,3.1,4.8,1.5,40.7,48.7,10.8,8.2,0.2
서울특별시,은평구,17.9,2.9,4.1,0.2,5.5,1.3,6.6,1.1,3.9,1.2,7.9,14.9,1.8,2.1,0.1
충청북도,음성군,27.3,5.1,6.6,0.4,7.5,2,16.4,4.8,8.7,1.6,27.5,30.5,2.9,10.8,0.1
경상남도,의령군,33.1,6.3,6.1,0.1,9.3,2.5,19.1,4.7,7,1,60.4,47.4,8.6,10.7,0
