	시군구1	시군구2	SIG_KOR_NM		계	상급종합병원	종합병원	병원	요양병원	의원	치과병원	치과의원	한방병원	한의원	보건소	보건지소	보건진료소	보건의료원	조산원	약국
149	경남	하동군	하남시	FALSE	94	0	0	3	2	20	0	12	0	9	1	12	18	0	0	17
145	경남	함안군	하동군	FALSE	94	0	0	3	4	22	0	13	0	12	1	5	9	0	0	25
151	경남	함양군	함안군	FALSE	83	0	0	1	0	22	0	9	0	10	1	10	11	0	0	19
36	전남	함평군	함양군	FALSE	76	0	0	2	2	15	1	8	0	7	1	8	16	0	0	16
153	경남	합천군	함평군	FALSE	96	0	0	3	2	17	0	10	0	14	1	16	15	0	0	18
33	전남	해남군	합천군	FALSE	135	0	2	2	2	36	0	16	0	10	1	13	18	0	0	35
87	부산	해운대구	해남군	FALSE	814	0	2	14	18	320	4	160	1	133	1	2	0	0	0	159
76	충남	홍성군	해운대구	FALSE	179	0	1	0	6	50	0	26	2	23	1	11	14	0	0	45
238	강원	홍천군	홍성군	FALSE	115	0	1	2	3	30	0	16	0	11	1	8	18	0	0	25
223	경기	화성시	홍천군	FALSE	1001	0	3	12	12	339	0	204	3	148	1	15	12	0	0	252
30	전남	화순군	화성시	FALSE	132	1	0	3	14	31	0	16	1	11	1	12	13	0	0	29
244	강원	화천군	화순군	FALSE	36	0	0	0	0	8	0	5	0	4	0	4	6	1	0	8
239	강원	횡성군	화천군	FALSE	69	0	0	1	1	13	0	7	0	13	1	8	8	0	0	17
			횡성군																	
